name,한글공항명,code,공항코드2(ICAO),공항운영상태구분
Asahikawa Airport,아사히카와 공항,AKJ,RJEC,기존공항
Asaloyeh Persian Gulf Airport,페르시아만 공항,PGU,OIBP,기존공항
Ashgabat International Airport,아쉬카밧 공항,ASB,UTAA,기존공항
Asmara International Airport,아스마라 국제공항,ASM,HHAS,기존공항
Asosa Airport,아소사 공항,ASO,HASO,기존공항
Aspen/Pitkin County Airport,아스펜 핏킨 공항,ASE,KASE,기존공항
Assab International Airport,아사브 국제공항,ASA,HHSB,기존공항
Asyut Airport,앗슈이 공항,ATZ,HEAT,기존공항
Astoria Regional Airport,아스토리아 공항,AST,KAST,기존공항
Astrakhan Narimanovo Airport,아스트라한 공항,ASF,URWA,기존공항
Asturias Airport,아스투리아스 공항,OVD,LEAS,기존공항
Astypalaia Island Airport,아스챠이팔리야 아일랜드 내셔널 공항,JTY,LGPL,기존공항
Asuncion Silvio Pettirossi International Airport,실비오 페트로씨 공항,ASU,SGAS,기존공항
Aswan Daraw Airport,아스완국제공항,ASW,HESN,기존공항
Atambua Haliwen Airport,할리웬 공항,ABU,WATA,기존공항
Athens Ben Epps Airport,아테네 벤 에프스 공항,AHN,KAHN,기존공항
Athens International Airport,엘레프테리오스 베니젤로스 국제공항,ATH,LGAV,기존공항
Atka Airport,아카 공항,AKB,PAAK,기존공항
Atlanta Hartsfield-Jackson International Airport,하츠필드 잭슨 애틀랜타 국제공항,ATL,KATL,기존공항
Atlanta Fulton County Airport,풀톤 카운티 공항 ,FTY,KFTY,기존공항
Atlanta DeKalb Peachtree Airport,애틀랜타 디칼브 피치트리 공항,PDK,KPDK,기존공항
Atlantic City International Airport,애틀랜틱시티 국제공항,ACY,KACY,기존공항
Atqasuk Airport,앳가숙 공항,ATK,PATQ,기존공항
Attapeu International Airport,아토푸 공항,AOU,VLAP,기존공항
Atyrau Airport,아티라우 공항,GUW,UATG,기존공항
Auckland International Airport,오클랜드 국제공항,AKL,NZAA,기존공항
Augusta State Airport,오거스타 스테이트 공항,AUG,KAUG,기존공항
Augusta Regional Airport,오거스타 지역공항,AGS,KAGS,기존공항
Auki Gwaunaru'u Airport,과우나루우 공항,AKS,AGGA,기존공항
Aurangabad Chikkalthana Airport,티칼타나 공항,IXU,VAAU,기존공항
Aurillac Airport,오리락 공항,AUR,LFLW,기존공항
Aurukun Mission Airport,아우루쿤 공항,AUU,YAUR,기존공항
Austin-Bergstrom International Airport,오스틴 벅스트롬 국제공항,AUS,KAUS,기존공항
Melbourne Avalon Airport,아발론 공항,AVV,YMAV,기존공항
Avignon Caumont Airport,아비뇽 코움 공항,AVN,LFMV,기존공항
Wilkes-Barre/Scranton International Airport,윌크스배러 스크랜튼 국제공항,AVP,KAVP,기존공항
Awasa Airport,아와싸 공항,AWA,HALA,기존공항
Axum Airport,악썸 공항,AXU,HAAX,기존공항
Ayacucho Alfredo Mendivil Duarte Airport,야나밀라 공항,AYP,SPHO,기존공항
Aydin Cildir Airport,아이딘 공항,CII,LTBD,기존공항
Ayers Rock Connellan Airport,코넬런 공항,AYQ,YAYE,기존공항
Bijie Feixiong Airport,바 공항,BFJ,ZUBJ,기존공항
Irarutu Babo Airport,바보 공항,BXB,WASO,기존공항
Bacau George Enescu International Airport,바커우 국제공항,BCM,LRBC,기존공항
Jinka Baco Airport,진카바코 공항,BCO,HABC,기존공항
Bacolod-Silay International Airport,바콜로드 국내공항,BCD,RPVB,기존공항
Badajoz Airport,바다호스 공항,BJZ,LEBZ,기존공항
Bafoussam Airport,바푸삼 공항,BFX,FKKU,기존공항
Bagdogra Airport,바그도그라 공항,IXB,VEBD,기존공항
Bage Airport,코만단테 구스타보 크라이머 공항,BGX,SBBG,기존공항
Baghdad International Airport,바그다드 국제공항 ,BGW,ORBI,기존공항
Baglung Balewa Airport,바그렁 공항,BGL,VNBL,기존공항
Saguenay-Bagotville Airport,바곳빌 공항,YBG,CYBG,기존공항
Bagram Air Field,바그람 에어베이스,OAI,OAIX,기존공항
Baguio Loakan Airport,로아칸 공항,BAG,RPUB,기존공항
Bahir Dar Dejazmach Belay Zeleke Airport,바하다르 공항,BJR,HABD,기존공항
Bahawalpur Airport,바하왈퍼 공항,BHV,OPBW,기존공항
Bahia Blanca Comandante Airport,코망단트 에스포라 공항,BHI,SAZB,기존공항
Bahia Solano Airport,호세 셀레스티노 무치스 공항,BSC,SKBS,기존공항
Bahrain International Airport,바레인 국제공항,BAH,OBBI,기존공항
Baia Mare Airport,바이아마레 공항,BAY,LRBM,기존공항
Baie Comeau Airport,바코모 공항,YBC,CYBC,기존공항
Baise Bama Airport,바이스 바마 공항,AEB,ZGBS,기존공항
Bajawa Airport,바자와 공항,BJW,WATB,기존공항
Bajura Airport,바주라 공항,BJU,VNBR,기존공항
Baker Lake Airport,베이커 레이크 공항,YBK,CYBK,기존공항
Bakersfield Meadows Field Airport,미도우즈 필드 공항,BFL,KBFL,기존공항
Baku Heydar Aliyev International Airport,헤이다 알리예프 국제공항,GYD,UBBB,기존공항
Balaton Sarmellek Airport,사멀렉 공항 ,SOB,LHSM,기존공항
Tiree Airport,타이리 공항,TRE,EGPU,기존공항
Balikesir Merkez Airport,발리케시르 공항,BZI,LTBF,기존공항
Edremit Korfez Airport,에드레밋 코르페즈 공항,EDO,LTFD,기존공항
Moma Airport,모모 공항,MQJ,UEMA,기존공항
Balikpapan Sultan Aji Muhamad Sulaiman Airport,세펭간 국제공항,BPN,WALL,기존공항
Balkhash Airport,발하슈 공항,BXH,UAAH,기존공항
Ballina Byron Airport,밸리나 바이런 게이트웨이 공항,BNK,YBNA,기존공항
Balmaceda Teniente Vidal Airport,발마세다 공항,BBA,SCBA,기존공항
Balti International Airport,발티국제공항,BZY,LUBL,기존공항
Baltimore/Washington International Airport,볼티모어 워싱턴 국제공항,BWI,KBWI,기존공항
Baltimore Martin State Airport,마틴 스테이트 공항,MTN,KMTN,기존공항
Balurghat Airport,발루갓 공항,RGH,VEBG,기존공항
Bam Airport,밤 공항,BXR,OIKM,기존공항
Northern Peninsula Airport,북부 반도 공항,ABM,YNPE,기존공항
Bamako Modibo Ke ita International Airport,세노우 공항,BKO,GABS,기존공항
Bamenda Airport,바멘다 공항,BPC,FKKV,기존공항
Bamyan Airport,바미얀 공항,BIN,OABN,기존공항
Houeisay Airport,반 핫 사이 공항,HOE,VLHS,기존공항
Buon Ma Thuot Airport,풍덕 공항,BMV,VVBM,기존공항
Banda Aceh International Airport,발랑 빈탕 공항,BTJ,WITT,기존공항
Bandar Abbas Airport,반다르압바스 국제공항,BND,OIKB,기존공항
Bandar Lampung Radin Inten II Airport,라딘 인텐 II 공항  ,TKG,WICT,기존공항
Bandar Lengeh Airport,반다랭게 공항,BDH,OIBL,기존공항
Bandar Seri Begawan Brunei International Airport,브루나이 국제공항,BWN,WBSB,기존공항
Bandung Husein Sastranegara Airport,후세인 사스트라네가라 공항,BDO,WICC,기존공항
Bangalore Kempegowda International Airport,벵갈루루 국제공항,BLR,VOBL,기존공항
Bangkok Suvarnabhumi International Airport,수완나푸미 국제공항 ,BKK,VTBS,기존공항
Bangkok Don Mueang International Airport,방콕 국제공항  ,DMK,VTBD,기존공항
Bangor International Airport,뱅거 국제공항,BGR,KBGR,기존공항
Bangui Airport,방기 음포코 국제공항,BGF,FEFF,기존공항
Banja Luka International Airport,바냐루카 국제공항,BNX,LQBK,기존공항
Banjarmasin Syamsudin Noor Airport,시암수딘 누어 공항,BDJ,WAOO,기존공항
Banjul Yundum International Airport,반줄 국제공항,BJL,GBYD,기존공항
Sydney Bankstown Airport,뱅크스타운 공항,BWU,YSBK,기존공항
Bhamo Airport,바모 공항,BMO,VYBM,기존공항
Banyuwangi Blimbingsari Airport,반유방기 공항,BWX,WARB,기존공항
Baoshan Yunduan Airport,바오산  공항,BSD,ZPBS,기존공항
Baotou Donghe Airport,바오터우  공항,BAV,ZBOW,기존공항
Hancock County-Bar Harbor Airport,바하버 카운티 바하버 공항,BHB,KBHB,기존공항
Barahona Airport,마리아 몬테드 국제공항,BRX,MDBH,기존공항
Bridgetown Grantley Adams International Airport,그랜틀리 아담스 국제공항,BGI,TBPB,기존공항
Barcaldine Airport,바르칼딘 공항,BCI,YBAR,기존공항
Barcelona-El Prat Josep Tarradellas Airport,바르셀로나 국제공항,BCN,LEBL,기존공항
Barcelona Gen J A Anzoategui Airport,제너널 호세 안토니오 안조아테귀 공항,BLA,SVBC,기존공항
Barcelos Airport,바르셀로나 공항,BAZ,SWBC,기존공항
Bardufoss Airport,바두포스 공항,BDU,ENDU,기존공항
Bareilly Airport,바릴리 공항,BEK,VIBY,기존공항
Bari Palese Airport,바리 카롤 워틸랴 국제공항 ,BRI,LIBD,기존공항
Barinas Airport,바리나스 공항,BNS,SVBI,기존공항
Barisal Airport,바리살 공항,BZL,VGBR,기존공항
Barnaul Airport,바르나울 공항,BAX,UNBB,기존공항
Barquisimeto Airport,바르케시마토 공항,BRM,SVBM,기존공항
Barra Airport,노스 베이 공항,BRR,EGPR,기존공항
Barra do Garcas Airport,바라도가르카스 공항,BPG,SBBW,기존공항
Barrancabemeja Yariguies Airport,배리구이즈 공항,EJA,SKEJ,기존공항
