,code,name,latitude_deg,longitude_deg
329,CTN,Cooktown Airport,-15.443649,145.183221
330,CJF,Coondewanna Airport,-22.9666996,118.8130035
331,CPH,Copenhagen Kastrup Airport,55.61790085,12.65600014
332,RKE,Copenhagen Roskilde Airport,55.58560181,12.13140011
333,YZS,Coral Harbour Airport,64.19329834,-83.35939789
334,ORK,Cork Airport,51.841301,-8.49111
335,RNI,Corn Island Airport,12.174785,-83.059445
336,CRP,Corpus Christi International Airport,27.770399,-97.501198
337,CEZ,Cortez Municipal Airport,37.3030014,-108.6279984
338,CVU,Corvo Airport,39.671501,-31.1136
339,CIY,Comiso Airport,36.994601,14.607182
340,XWA,Williston Basin International Airport,48.258387,-103.748797
341,CVT,Coventry Airport,52.36970139,-1.479719996
342,CXB,Cox's Bazar Airport,21.45219994,91.96389771
343,CCV,Craig Cove Airport,-16.264999,167.923996
344,CRA,Craiova Airport,44.3181,23.888599
345,CKI,Croker Island Airport,-11.16499996,132.4830017
346,CRV,Crotone Airport,38.9972,17.0802
347,CZS,Cruzeiro do Sul Airport,-7.59991,-72.769501
348,FXO,Cuamba Airport,-14.815,36.529999
349,CDP,Kadapa Airport,14.513154,78.769183
350,CMA,Cunnamulla Airport,-28.03000069,145.621994
351,KME,Kamembe Airport,-2.462239981,28.90789986
352,VIL,Dakhla Airport,23.7183,-15.932
353,DLZ,Dalanzadgad Airport,43.608628,104.367734
354,DLC,Dalian Zhoushuizi International Airport,38.965698,121.539001
355,DAL,Dallas Love Field,32.847099,-96.851799
356,RBD,Dallas Executive Airport,32.68090057,-96.86820221
357,DFW,Dallas Fort Worth International Airport,32.896801,-97.038002
358,DJO,Daloa Airport,6.792809963,-6.473189831
359,DAM,Damascus International Airport,33.41149902,36.5155983
360,DXR,Danbury Municipal Airport,41.37149811,-73.48220062
361,DDG,Dandong Langtou Airport,40.0247,124.286003
362,DCY,Daocheng Yading Airport,29.31632,100.060317
363,NLF,Darnley Island Airport,-9.583330154,143.7669983
364,DAU,Daru Airport,-9.08676,143.207993
365,DTD,Datadawai Airport,0.8106,114.5306
366,DAT,Datong Yungang Airport,40.061614,113.480032
367,YDA,Dawson City Airport,64.04309845,-139.128006
368,YDA,Dawson City Airport,66.809432,-141.643875
369,MGY,Dayton-Wright Brothers Airport,39.5890007,-84.22489929
370,DAB,Daytona Beach International Airport,29.179899,-81.058098
371,DEC,Decatur Airport,39.83459854,-88.86569977
372,YVZ,Deer Lake Airport,49.21080017,-57.39139938
373,YVZ,Deer Lake Airport,52.65579987,-94.06140137
374,DRG,Deering Airport,66.069603,-162.766006
375,DRT,Del Rio International Airport,29.37420082,-100.927002
376,HXD,Delingha Airport,37.125286,97.268658
377,DNQ,Deniliquin Airport,-35.55939865,144.9459991
378,BJC,Rocky Mountain Metropolitan Airport,39.908798,-105.116997
379,DEN,Denver International Airport,39.86169815,-104.6729965
380,DEP,Daporijo Airport,27.98550034,94.22280121
381,DRB,Derby Airport,-17.37193,123.66221
382,DSM,Des Moines International Airport,41.534,-93.663101
383,DSI,Destin Executive Airport,30.400101,-86.471497
384,DVL,Devils Lake Regional Airport,48.114201,-98.908798
385,DPO,Devonport Airport,-41.16970062,146.4299927
386,DIK,Dickinson Theodore Roosevelt Regional Airport,46.79740143,-102.802002
387,DIN,Dien Bien Phu Airport,21.39749908,103.0080032
